Model_Type,Dataset,Mutation_Level,Mutate_time,Number_of_Mutants,Mutation_Score,MS_time,Total_time
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.515705109,531,0.583176397,526.8928218,527.4085269
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.516581297,531,0.583176397,520.1518037,520.668385
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.522840977,531,0.583176397,528.9092646,529.4321055
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.514000654,531,0.583176397,530.5451241,531.0591247
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.535566092,531,0.583176397,526.1461051,526.6816711
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.515103579,531,0.583176397,525.2673492,525.7824528
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.523006916,531,0.583176397,524.9523516,525.4753585
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.511346817,531,0.583176397,524.9866705,525.4980173
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.521485329,531,0.583176397,525.8555286,526.3770139
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.497215986,531,0.583176397,525.4983363,525.9955523
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.515474558,531,0.583176397,525.1875472,525.7030218
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.493060112,531,0.583176397,524.3794639,524.872524
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.500869751,531,0.583176397,527.1744907,527.6753604
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.491454601,531,0.583176397,527.2360437,527.7274983
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.524218798,531,0.583176397,527.3344238,527.8586426
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.512551308,531,0.583176397,529.8808336,530.3933849
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.514584303,531,0.583176397,526.7160766,527.2306609
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.542203188,531,0.583176397,529.3756185,529.9178216
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.523339272,531,0.583176397,524.9922841,525.5156233
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.516387463,531,0.583176397,526.5423598,527.0587473
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.514389753,531,0.583176397,523.9874132,524.5018029
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.519925356,531,0.583176397,528.0703387,528.5902641
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.496461153,531,0.583176397,527.707638,528.2040992
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.511528015,531,0.583176397,525.8118989,526.323427
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.516706705,531,0.583176397,523.2707076,523.7874143
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.491149902,531,0.583176397,523.8779607,524.3691106
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.495351076,531,0.583176397,525.6353052,526.1306562
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.496410608,531,0.583176397,528.5657392,529.0621498
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.512440681,531,0.583176397,526.5038958,527.0163364
examples/emnist/fcnn-emnist.keras,emnist,neuron,0.517187834,531,0.583176397,520.4762411,520.9934289
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.665792942,759,0.59639877,800.1338801,800.7996731
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.661547422,759,0.59639877,805.4563644,806.1179118
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.667219162,759,0.59639877,806.1551366,806.8223557
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.672954082,759,0.59639877,809.1919014,809.8648555
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.669342995,759,0.59639877,814.4809206,815.1502635
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.669765472,759,0.59639877,805.0080628,805.6778283
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.667059898,759,0.59639877,803.0874791,803.754539
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.65677619,759,0.59639877,801.5878162,802.2445924
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.667600632,759,0.59639877,802.4515445,803.1191452
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.665883303,759,0.59639877,801.658673,802.3245564
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.674461365,759,0.59639877,803.050946,803.7254074
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.671892166,759,0.59639877,802.4628034,803.1346955
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.668844938,759,0.59639877,808.7827666,809.4516115
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.668717384,759,0.59639877,800.7094803,801.3781977
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.658313036,759,0.59639877,798.4615841,799.1198971
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.660449028,759,0.59639877,808.5231683,809.1836174
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.662311316,759,0.59639877,807.103864,807.7661753
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.665807247,759,0.59639877,805.2048488,805.870656
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.674602032,759,0.59639877,803.7050257,804.3796277
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.672328472,759,0.59639877,814.0457771,814.7181056
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.664827585,759,0.59639877,801.1192849,801.7841125
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.665706396,759,0.59639877,805.0492949,805.7150013
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.665396452,759,0.59639877,803.2644782,803.9298747
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.661704779,759,0.59639877,805.3098364,805.9715412
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.666339397,759,0.59639877,802.7416244,803.4079638
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.670606613,759,0.59639877,799.2266605,799.8972671
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.659205437,759,0.59639877,806.5120153,807.1712208
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.66146636,759,0.59639877,808.3022218,808.9636881
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.66109705,759,0.59639877,800.4358823,801.0969794
examples/emnist/lenet5-emnist.keras,emnist,neuron,0.660476446,759,0.59639877,810.2225277,810.8830042
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.446543455,480,0.589791667,243.0043533,243.4508967
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.455448627,480,0.589791667,242.6644585,243.1199071
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.459614277,480,0.589791667,245.629899,246.0895133
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.43684268,480,0.589791667,243.6990395,244.1358821
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.432684183,480,0.589791667,243.1600628,243.592747
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.445637941,480,0.589791667,245.0960431,245.5416811
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.46122694,480,0.589791667,242.4002411,242.8614681
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.462262869,480,0.589791667,245.3022833,245.7645462
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.460835457,480,0.589791667,244.681917,245.1427524
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.460557938,480,0.589791667,243.8784518,244.3390098
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.456854582,480,0.589791667,243.6285379,244.0853925
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.455902338,480,0.589791667,243.0722899,243.5281923
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.459985495,480,0.589791667,244.3108292,244.7708147
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.456820011,480,0.589791667,243.1328263,243.5896463
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.43754673,480,0.589791667,244.0657928,244.5033395
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.432211637,480,0.589791667,244.7863891,245.2186007
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.456409216,480,0.589791667,242.4378629,242.8942721
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.455150127,480,0.589791667,243.8285446,244.2836947
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.484137774,480,0.589791667,245.4810131,245.9651508
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.468146801,480,0.589791667,243.7673726,244.2355194
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.484235525,480,0.589791667,243.2066395,243.6908751
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.488920212,480,0.589791667,243.1323397,243.6212599
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.489620924,480,0.589791667,244.6856565,245.1752775
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.487624407,480,0.589791667,243.5595884,244.0472128
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.481817722,480,0.589791667,243.4520226,243.9338403
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.467737675,480,0.589791667,242.6184757,243.0862134
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.467237711,480,0.589791667,244.9991658,245.4664035
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.464180946,480,0.589791667,244.2005758,244.6647568
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.491559505,480,0.589791667,244.257699,244.7492585
examples/fmnist/fcnn-fmnist.keras,fmnist,neuron,0.441054344,480,0.589791667,246.3208709,246.7619252
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.601789474,708,0.602542373,377.8559375,378.457727
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.619678736,708,0.602542373,380.2736282,380.893307
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.61015892,708,0.602542373,379.5502803,380.1604393
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.616723299,708,0.602542373,381.129725,381.7464483
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.607331991,708,0.602542373,377.2648184,377.8721504
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.612876892,708,0.602542373,379.3676765,379.9805534
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.612208843,708,0.602542373,379.2481315,379.8603404
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.609982491,708,0.602542373,377.9537609,378.5637434
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.605667114,708,0.602542373,377.3644509,377.970118
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.615671635,708,0.602542373,379.1852248,379.8008964
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.615596771,708,0.602542373,380.6358039,381.2514007
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.611794472,708,0.602542373,379.9953778,380.6071723
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.61166048,708,0.602542373,381.3211524,381.9328129
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.60961318,708,0.602542373,379.0983243,379.7079375
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.611947775,708,0.602542373,375.1258757,375.7378235
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.606735229,708,0.602542373,379.6753204,380.2820556
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.615310669,708,0.602542373,380.0567868,380.6720974
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.618032455,708,0.602542373,377.6600363,378.2780688
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.608201027,708,0.602542373,376.6773281,377.2855291
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.61354661,708,0.602542373,380.0895975,380.7031441
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.610102415,708,0.602542373,379.1333401,379.7434425
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.608261585,708,0.602542373,379.6706908,380.2789524
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.611370087,708,0.602542373,376.0705891,376.6819592
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.608473539,708,0.602542373,378.6108878,379.2193613
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.611932278,708,0.602542373,378.6746755,379.2866077
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.608844757,708,0.602542373,377.9369547,378.5457995
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.616335154,708,0.602542373,381.5069532,382.1232884
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.604763508,708,0.602542373,377.2906947,377.8954582
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.610642672,708,0.602542373,380.0523856,380.6630282
examples/fmnist/lenet5-fmnist.keras,fmnist,neuron,0.605162621,708,0.602542373,378.141366,378.7465286
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.428230047,480,0.686041667,243.5525093,243.9807394
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.433397055,480,0.686041667,242.4375873,242.8709843
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.463882208,480,0.686041667,243.5208354,243.9847176
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.432780504,480,0.686041667,243.7578006,244.1905811
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.461910725,480,0.686041667,244.1708119,244.6327226
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.435019493,480,0.686041667,243.8409407,244.2759602
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.454632044,480,0.686041667,242.5056598,242.9602919
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.439973593,480,0.686041667,243.0367191,243.4766927
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.46105814,480,0.686041667,242.6771235,243.1381817
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.436948299,480,0.686041667,242.6843138,243.1212621
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.462702513,480,0.686041667,242.5425677,243.0052702
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.436943769,480,0.686041667,242.5892177,243.0261614
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.460375547,480,0.686041667,243.7378836,244.1982591
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.46002841,480,0.686041667,243.7692521,244.2292805
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.461762667,480,0.686041667,243.4849896,243.9467523
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.432221889,480,0.686041667,244.3488772,244.7810991
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.465318441,480,0.686041667,244.5046158,244.9699342
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.435765743,480,0.686041667,244.8460629,245.2818286
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.432600021,480,0.686041667,242.7851346,243.2177346
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.439308643,480,0.686041667,243.0787239,243.5180326
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.433899164,480,0.686041667,242.6717386,243.1056378
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.436737061,480,0.686041667,243.3588197,243.7955568
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.438718796,480,0.686041667,242.6863279,243.1250467
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.44076705,480,0.686041667,243.4461737,243.8869407
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.465334415,480,0.686041667,243.5897772,244.0551116
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.434211016,480,0.686041667,243.2904663,243.7246773
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.466586828,480,0.686041667,241.92349,242.3900769
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.459611416,480,0.686041667,245.0302637,245.4898751
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.478354931,480,0.686041667,241.8401735,242.3185284
examples/kmnist/fcnn-kmnist.keras,kmnist,neuron,0.46576786,480,0.686041667,243.7584972,244.2242651
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.610078335,708,0.574152542,395.323555,395.9336333
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.607120275,708,0.574152542,395.5777867,396.184907
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.605478287,708,0.574152542,395.1403358,395.7458141
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.608262777,708,0.574152542,397.3046596,397.9129224
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.615491629,708,0.574152542,392.7651367,393.3806283
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.614613533,708,0.574152542,395.9339724,396.5485859
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.608143568,708,0.574152542,396.105279,396.7134225
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.613343477,708,0.574152542,394.1892076,394.802551
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.604853153,708,0.574152542,396.2895014,396.8943546
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.616698742,708,0.574152542,397.0901468,397.7068455
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.606405258,708,0.574152542,396.1136713,396.7200766
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.613012791,708,0.574152542,394.8953595,395.5083723
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.609828472,708,0.574152542,397.8252699,398.4350984
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.612634182,708,0.574152542,396.4649508,397.077585
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.606858492,708,0.574152542,398.273246,398.8801045
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.603244543,708,0.574152542,396.0730739,396.6763184
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.612375021,708,0.574152542,395.1100044,395.7223794
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.611902475,708,0.574152542,394.072993,394.6848955
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.607012987,708,0.574152542,395.3834586,395.9904716
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.608762741,708,0.574152542,396.0584106,396.6671734
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.612489462,708,0.574152542,395.4466746,396.059164
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.607970238,708,0.574152542,397.3520949,397.9600651
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.606463671,708,0.574152542,395.8935442,396.5000079
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.616575241,708,0.574152542,396.1281517,396.7447269
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.612037182,708,0.574152542,394.4705517,395.0825889
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.61139226,708,0.574152542,397.3749332,397.9863255
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.60755682,708,0.574152542,395.9214079,396.5289648
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.607739925,708,0.574152542,395.3416965,395.9494364
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.605850935,708,0.574152542,396.107585,396.7134359
examples/kmnist/lenet5-kmnist.keras,kmnist,neuron,0.609007597,708,0.574152542,396.7858605,397.3948681
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.456666231,480,0.529791667,258.7168605,259.1735268
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.440888166,480,0.529791667,266.1383722,266.5792603
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.460951805,480,0.529791667,264.8635097,265.3244615
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.43941164,480,0.529791667,262.5173202,262.9567318
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.444569826,480,0.529791667,264.3506806,264.7952504
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.439388752,480,0.529791667,265.7865942,266.2259829
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.443119526,480,0.529791667,267.3734417,267.8165612
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.46579957,480,0.529791667,265.4652967,265.9310963
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.462618589,480,0.529791667,265.3285782,265.7911968
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.459568262,480,0.529791667,265.2766638,265.736232
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.459975481,480,0.529791667,266.3820627,266.8420382
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.464879751,480,0.529791667,265.917623,266.3825028
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.461667299,480,0.529791667,267.552382,268.0140493
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.436180115,480,0.529791667,264.9514763,265.3876565
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.466507196,480,0.529791667,264.9189367,265.3854439
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.446925163,480,0.529791667,263.8751903,264.3221154
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.43431139,480,0.529791667,263.6048293,264.0391407
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.458959341,480,0.529791667,263.180788,263.6397474
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.461016417,480,0.529791667,264.9898736,265.4508901
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.455031872,480,0.529791667,264.4488738,264.9039056
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.460587263,480,0.529791667,264.7712932,265.2318804
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.461081982,480,0.529791667,264.7683446,265.2294266
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.465367317,480,0.529791667,264.8709269,265.3362942
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.462189436,480,0.529791667,264.9818375,265.4440269
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.465184689,480,0.529791667,266.4769065,266.9420912
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.453858852,480,0.529791667,265.3077102,265.761569
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.456955433,480,0.529791667,263.5311122,263.9880676
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.460880995,480,0.529791667,264.8900268,265.3509078
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.48248148,480,0.529791667,266.3154528,266.7979343
examples/mnist/fcnn-mnist.keras,mnist,neuron,0.46010232,480,0.529791667,266.8492985,267.3094008
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.61025095,708,0.267090395,409.5287635,410.1390145
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.6084342,708,0.267090395,409.108969,409.7174032
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.60702014,708,0.267090395,410.0574265,410.6644466
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612435818,708,0.267090395,409.0352027,409.6476386
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.609774351,708,0.267090395,409.216032,409.8258064
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.616553068,708,0.267090395,409.1811881,409.7977412
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.605797768,708,0.267090395,407.8308837,408.4366815
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.614285469,708,0.267090395,407.5824208,408.1967063
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.611508608,708,0.267090395,409.8132093,410.4247179
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.603925228,708,0.267090395,410.6996653,411.3035905
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.613877296,708,0.267090395,410.6139822,411.2278595
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.615608454,708,0.267090395,410.6645424,411.2801509
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.613801003,708,0.267090395,408.5914383,409.2052393
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.61433506,708,0.267090395,409.6336904,410.2480254
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.607702017,708,0.267090395,408.1254327,408.7331347
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.608082771,708,0.267090395,408.5974174,409.2055001
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.611076593,708,0.267090395,409.9090953,410.5201719
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612762213,708,0.267090395,408.4160194,409.0287817
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.613122702,708,0.267090395,406.5541387,407.1672614
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.614958525,708,0.267090395,409.2033095,409.8182681
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612629175,708,0.267090395,408.2785161,408.8911452
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.610128164,708,0.267090395,409.6815748,410.291703
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.615729094,708,0.267090395,410.4571807,411.0729098
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.615373611,708,0.267090395,409.7725759,410.3879495
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.61063385,708,0.267090395,408.3923817,409.0030155
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.620903969,708,0.267090395,411.1225843,411.7434883
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612999439,708,0.267090395,409.0730171,409.6860166
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.617753267,708,0.267090395,409.6787388,410.2964921
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612638712,708,0.267090395,409.1012206,409.7138593
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.611962557,708,0.267090395,408.2350914,408.847054
